Qcode,Qname,Ländergruppe,Anzahl
021,Wollishofen,Türkei,68
021,Wollishofen,Tschechische Republik,26
021,Wollishofen,Spanien,158
021,Wollishofen,"Serbien und Montenegro, Kosovo",168
021,Wollishofen,Portugal,133
021,Wollishofen,Polen,69
021,Wollishofen,Österreich,148
021,Wollishofen,Niederlande,62
021,Wollishofen,Italien,450
021,Wollishofen,Grossbritannien,161
021,Wollishofen,Griechenland,30
021,Wollishofen,Frankreich,123
021,Wollishofen,Deutschland,1239
074,Witikon,Türkei,28
074,Witikon,Tschechische Republik,17
074,Witikon,Spanien,39
074,Witikon,"Serbien und Montenegro, Kosovo",54
074,Witikon,Portugal,85
074,Witikon,Polen,31
074,Witikon,Österreich,116
074,Witikon,Niederlande,39
074,Witikon,Italien,176
074,Witikon,Grossbritannien,74
074,Witikon,Griechenland,31
074,Witikon,Frankreich,137
074,Witikon,Deutschland,907
102,Wipkingen,Türkei,161
102,Wipkingen,Tschechische Republik,14
102,Wipkingen,Spanien,220
102,Wipkingen,"Serbien und Montenegro, Kosovo",261
102,Wipkingen,Portugal,223
102,Wipkingen,Polen,39
102,Wipkingen,Österreich,206
102,Wipkingen,Niederlande,56
102,Wipkingen,Italien,496
102,Wipkingen,Grossbritannien,111
102,Wipkingen,Griechenland,97
102,Wipkingen,Frankreich,125
102,Wipkingen,Deutschland,1517
041,Werd,Türkei,45
041,Werd,Tschechische Republik,6
041,Werd,Spanien,74
041,Werd,"Serbien und Montenegro, Kosovo",42
041,Werd,Portugal,75
041,Werd,Polen,20
041,Werd,Österreich,43
041,Werd,Niederlande,28
041,Werd,Italien,133
041,Werd,Grossbritannien,69
041,Werd,Griechenland,20
041,Werd,Frankreich,63
041,Werd,Deutschland,429
083,Weinegg,Türkei,23
083,Weinegg,Tschechische Republik,2
083,Weinegg,Spanien,34
083,Weinegg,"Serbien und Montenegro, Kosovo",42
083,Weinegg,Portugal,77
083,Weinegg,Polen,12
083,Weinegg,Österreich,88
083,Weinegg,Niederlande,29
083,Weinegg,Italien,99
083,Weinegg,Grossbritannien,43
083,Weinegg,Griechenland,41
083,Weinegg,Frankreich,40
083,Weinegg,Deutschland,492
061,Unterstrass,Türkei,79
061,Unterstrass,Tschechische Republik,16
061,Unterstrass,Spanien,237
061,Unterstrass,"Serbien und Montenegro, Kosovo",192
061,Unterstrass,Portugal,242
061,Unterstrass,Polen,73
061,Unterstrass,Österreich,246
061,Unterstrass,Niederlande,83
061,Unterstrass,Italien,566
061,Unterstrass,Grossbritannien,174
061,Unterstrass,Griechenland,122
061,Unterstrass,Frankreich,214
061,Unterstrass,Deutschland,1872
034,Sihlfeld,Türkei,196
034,Sihlfeld,Tschechische Republik,31
034,Sihlfeld,Spanien,393
034,Sihlfeld,"Serbien und Montenegro, Kosovo",434
034,Sihlfeld,Portugal,550
034,Sihlfeld,Polen,52
034,Sihlfeld,Österreich,214
034,Sihlfeld,Niederlande,73
034,Sihlfeld,Italien,758
034,Sihlfeld,Grossbritannien,161
034,Sihlfeld,Griechenland,64
034,Sihlfeld,Frankreich,130
034,Sihlfeld,Deutschland,1598
081,Seefeld,Türkei,15
081,Seefeld,Tschechische Republik,8
081,Seefeld,Spanien,83
081,Seefeld,"Serbien und Montenegro, Kosovo",6
081,Seefeld,Portugal,18
081,Seefeld,Polen,25
081,Seefeld,Österreich,84
081,Seefeld,Niederlande,51
081,Seefeld,Italien,126
081,Seefeld,Grossbritannien,150
081,Seefeld,Griechenland,26
081,Seefeld,Frankreich,71
081,Seefeld,Deutschland,613
119,Seebach,Türkei,296
119,Seebach,Tschechische Republik,37
119,Seebach,Spanien,300
119,Seebach,"Serbien und Montenegro, Kosovo",823
119,Seebach,Portugal,557
119,Seebach,Polen,99
119,Seebach,Österreich,246
119,Seebach,Niederlande,59
119,Seebach,Italien,906
119,Seebach,Grossbritannien,169
119,Seebach,Griechenland,123
119,Seebach,Frankreich,135
119,Seebach,Deutschland,1675
122,Schwamendingen-Mitte,Türkei,218
122,Schwamendingen-Mitte,Tschechische Republik,17
122,Schwamendingen-Mitte,Spanien,165
122,Schwamendingen-Mitte,"Serbien und Montenegro, Kosovo",571
122,Schwamendingen-Mitte,Portugal,415
122,Schwamendingen-Mitte,Polen,33
122,Schwamendingen-Mitte,Österreich,93
122,Schwamendingen-Mitte,Niederlande,16
122,Schwamendingen-Mitte,Italien,447
122,Schwamendingen-Mitte,Grossbritannien,24
122,Schwamendingen-Mitte,Griechenland,95
122,Schwamendingen-Mitte,Frankreich,62
122,Schwamendingen-Mitte,Deutschland,634
121,Saatlen,Türkei,106
121,Saatlen,Tschechische Republik,3
121,Saatlen,Spanien,86
121,Saatlen,"Serbien und Montenegro, Kosovo",275
121,Saatlen,Portugal,185
121,Saatlen,Polen,17
121,Saatlen,Österreich,49
121,Saatlen,Niederlande,13
121,Saatlen,Italien,359
121,Saatlen,Grossbritannien,18
121,Saatlen,Griechenland,46
121,Saatlen,Frankreich,19
121,Saatlen,Deutschland,357
011,Rathaus,Türkei,8
011,Rathaus,Tschechische Republik,3
011,Rathaus,Spanien,45
011,Rathaus,"Serbien und Montenegro, Kosovo",6
011,Rathaus,Portugal,20
011,Rathaus,Polen,4
011,Rathaus,Österreich,48
011,Rathaus,Niederlande,27
011,Rathaus,Italien,79
011,Rathaus,Grossbritannien,50
011,Rathaus,Griechenland,12
011,Rathaus,Frankreich,41
011,Rathaus,Deutschland,246
115,Oerlikon,Türkei,233
115,Oerlikon,Tschechische Republik,35
115,Oerlikon,Spanien,312
115,Oerlikon,"Serbien und Montenegro, Kosovo",344
115,Oerlikon,Portugal,367
115,Oerlikon,Polen,95
115,Oerlikon,Österreich,261
115,Oerlikon,Niederlande,68
115,Oerlikon,Italien,776
115,Oerlikon,Grossbritannien,192
115,Oerlikon,Griechenland,116
115,Oerlikon,Frankreich,205
115,Oerlikon,Deutschland,2016
063,Oberstrass,Türkei,30
063,Oberstrass,Tschechische Republik,7
063,Oberstrass,Spanien,86
063,Oberstrass,"Serbien und Montenegro, Kosovo",32
063,Oberstrass,Portugal,42
063,Oberstrass,Polen,42
063,Oberstrass,Österreich,161
063,Oberstrass,Niederlande,39
063,Oberstrass,Italien,218
063,Oberstrass,Grossbritannien,110
063,Oberstrass,Griechenland,55
063,Oberstrass,Frankreich,121
063,Oberstrass,Deutschland,1265
082,Mühlebach,Türkei,14
082,Mühlebach,Tschechische Republik,8
082,Mühlebach,Spanien,60
082,Mühlebach,"Serbien und Montenegro, Kosovo",22
082,Mühlebach,Portugal,63
082,Mühlebach,Polen,22
082,Mühlebach,Österreich,94
082,Mühlebach,Niederlande,36
082,Mühlebach,Italien,154
082,Mühlebach,Grossbritannien,117
082,Mühlebach,Griechenland,27
082,Mühlebach,Frankreich,76
082,Mühlebach,Deutschland,600
013,Lindenhof,Türkei,2
013,Lindenhof,Tschechische Republik,2
013,Lindenhof,Spanien,6
013,Lindenhof,"Serbien und Montenegro, Kosovo",2
013,Lindenhof,Portugal,5
013,Lindenhof,Österreich,12
013,Lindenhof,Niederlande,5
013,Lindenhof,Italien,19
013,Lindenhof,Grossbritannien,22
013,Lindenhof,Griechenland,0
013,Lindenhof,Frankreich,18
013,Lindenhof,Deutschland,70
023,Leimbach,Türkei,63
023,Leimbach,Tschechische Republik,9
023,Leimbach,Spanien,52
023,Leimbach,"Serbien und Montenegro, Kosovo",58
023,Leimbach,Portugal,76
023,Leimbach,Polen,8
023,Leimbach,Österreich,40
023,Leimbach,Niederlande,19
023,Leimbach,Italien,97
023,Leimbach,Grossbritannien,29
023,Leimbach,Griechenland,12
023,Leimbach,Frankreich,35
023,Leimbach,Deutschland,383
042,Langstrasse,Türkei,114
042,Langstrasse,Tschechische Republik,12
042,Langstrasse,Spanien,249
042,Langstrasse,"Serbien und Montenegro, Kosovo",154
042,Langstrasse,Portugal,394
042,Langstrasse,Polen,32
042,Langstrasse,Österreich,128
042,Langstrasse,Niederlande,46
042,Langstrasse,Italien,475
042,Langstrasse,Grossbritannien,77
042,Langstrasse,Griechenland,39
042,Langstrasse,Frankreich,93
042,Langstrasse,Deutschland,1002
072,Hottingen,Türkei,31
072,Hottingen,Tschechische Republik,9
072,Hottingen,Spanien,106
072,Hottingen,"Serbien und Montenegro, Kosovo",43
072,Hottingen,Portugal,56
072,Hottingen,Polen,39
072,Hottingen,Österreich,131
072,Hottingen,Niederlande,77
072,Hottingen,Italien,187
072,Hottingen,Grossbritannien,154
072,Hottingen,Griechenland,38
072,Hottingen,Frankreich,190
072,Hottingen,Deutschland,1231
101,Höngg,Türkei,99
101,Höngg,Tschechische Republik,40
101,Höngg,Spanien,185
101,Höngg,"Serbien und Montenegro, Kosovo",170
101,Höngg,Portugal,117
101,Höngg,Polen,62
101,Höngg,Österreich,229
101,Höngg,Niederlande,50
101,Höngg,Italien,497
101,Höngg,Grossbritannien,131
101,Höngg,Griechenland,83
101,Höngg,Frankreich,131
101,Höngg,Deutschland,1777
012,Hochschulen,Türkei,8
012,Hochschulen,Tschechische Republik,2
012,Hochschulen,Spanien,4
012,Hochschulen,"Serbien und Montenegro, Kosovo",2
012,Hochschulen,Portugal,7
012,Hochschulen,Polen,4
012,Hochschulen,Österreich,22
012,Hochschulen,Niederlande,3
012,Hochschulen,Italien,14
012,Hochschulen,Grossbritannien,8
012,Hochschulen,Griechenland,1
012,Hochschulen,Frankreich,5
012,Hochschulen,Deutschland,67
123,Hirzenbach,Türkei,225
123,Hirzenbach,Tschechische Republik,11
123,Hirzenbach,Spanien,136
123,Hirzenbach,"Serbien und Montenegro, Kosovo",568
123,Hirzenbach,Portugal,574
123,Hirzenbach,Polen,26
123,Hirzenbach,Österreich,75
123,Hirzenbach,Niederlande,15
123,Hirzenbach,Italien,464
123,Hirzenbach,Grossbritannien,23
123,Hirzenbach,Griechenland,79
123,Hirzenbach,Frankreich,43
123,Hirzenbach,Deutschland,390
073,Hirslanden,Türkei,14
073,Hirslanden,Tschechische Republik,5
073,Hirslanden,Spanien,62
073,Hirslanden,"Serbien und Montenegro, Kosovo",35
073,Hirslanden,Portugal,34
073,Hirslanden,Polen,17
073,Hirslanden,Österreich,104
073,Hirslanden,Niederlande,36
073,Hirslanden,Italien,130
073,Hirslanden,Grossbritannien,71
073,Hirslanden,Griechenland,31
073,Hirslanden,Frankreich,86
073,Hirslanden,Deutschland,706
044,Hard,Türkei,228
044,Hard,Tschechische Republik,11
044,Hard,Spanien,282
044,Hard,"Serbien und Montenegro, Kosovo",462
044,Hard,Portugal,917
044,Hard,Polen,27
044,Hard,Österreich,113
044,Hard,Niederlande,27
044,Hard,Italien,715
044,Hard,Grossbritannien,62
044,Hard,Griechenland,65
044,Hard,Frankreich,76
044,Hard,Deutschland,770
051,Gewerbeschule,Türkei,117
051,Gewerbeschule,Tschechische Republik,16
051,Gewerbeschule,Spanien,168
051,Gewerbeschule,"Serbien und Montenegro, Kosovo",227
051,Gewerbeschule,Portugal,191
051,Gewerbeschule,Polen,34
051,Gewerbeschule,Österreich,103
051,Gewerbeschule,Niederlande,28
051,Gewerbeschule,Italien,420
051,Gewerbeschule,Grossbritannien,55
051,Gewerbeschule,Griechenland,44
051,Gewerbeschule,Frankreich,76
051,Gewerbeschule,Deutschland,721
033,Friesenberg,Türkei,100
033,Friesenberg,Tschechische Republik,8
033,Friesenberg,Spanien,111
033,Friesenberg,"Serbien und Montenegro, Kosovo",168
033,Friesenberg,Portugal,165
033,Friesenberg,Polen,24
033,Friesenberg,Österreich,81
033,Friesenberg,Niederlande,21
033,Friesenberg,Italien,265
033,Friesenberg,Grossbritannien,40
033,Friesenberg,Griechenland,36
033,Friesenberg,Frankreich,19
033,Friesenberg,Deutschland,466
071,Fluntern,Türkei,12
071,Fluntern,Tschechische Republik,7
071,Fluntern,Spanien,60
071,Fluntern,"Serbien und Montenegro, Kosovo",17
071,Fluntern,Portugal,29
071,Fluntern,Polen,20
071,Fluntern,Österreich,130
071,Fluntern,Niederlande,50
071,Fluntern,Italien,134
071,Fluntern,Grossbritannien,98
071,Fluntern,Griechenland,38
071,Fluntern,Frankreich,165
071,Fluntern,Deutschland,1037
052,Escher Wyss,Türkei,8
052,Escher Wyss,Tschechische Republik,5
052,Escher Wyss,Spanien,27
052,Escher Wyss,"Serbien und Montenegro, Kosovo",21
052,Escher Wyss,Portugal,44
052,Escher Wyss,Polen,13
052,Escher Wyss,Österreich,28
052,Escher Wyss,Niederlande,14
052,Escher Wyss,Italien,108
052,Escher Wyss,Grossbritannien,35
052,Escher Wyss,Griechenland,9
052,Escher Wyss,Frankreich,35
052,Escher Wyss,Deutschland,332
024,Enge,Türkei,25
024,Enge,Tschechische Republik,12
024,Enge,Spanien,113
024,Enge,"Serbien und Montenegro, Kosovo",43
024,Enge,Portugal,72
024,Enge,Polen,40
024,Enge,Österreich,125
024,Enge,Niederlande,67
024,Enge,Italien,232
024,Enge,Grossbritannien,179
024,Enge,Griechenland,35
024,Enge,Frankreich,99
024,Enge,Deutschland,853
014,City,Türkei,3
014,City,Tschechische Republik,2
014,City,Spanien,8
014,City,"Serbien und Montenegro, Kosovo",13
014,City,Portugal,8
014,City,Polen,2
014,City,Österreich,17
014,City,Niederlande,2
014,City,Italien,26
014,City,Grossbritannien,19
014,City,Griechenland,2
014,City,Frankreich,14
014,City,Deutschland,64
031,Alt-Wiedikon,Türkei,135
031,Alt-Wiedikon,Tschechische Republik,23
031,Alt-Wiedikon,Spanien,215
031,Alt-Wiedikon,"Serbien und Montenegro, Kosovo",170
031,Alt-Wiedikon,Portugal,330
031,Alt-Wiedikon,Polen,61
031,Alt-Wiedikon,Österreich,178
031,Alt-Wiedikon,Niederlande,84
031,Alt-Wiedikon,Italien,499
031,Alt-Wiedikon,Grossbritannien,257
031,Alt-Wiedikon,Griechenland,67
031,Alt-Wiedikon,Frankreich,142
031,Alt-Wiedikon,Deutschland,1569
092,Altstetten,Türkei,561
092,Altstetten,Tschechische Republik,44
092,Altstetten,Spanien,625
092,Altstetten,"Serbien und Montenegro, Kosovo",920
092,Altstetten,Portugal,1324
092,Altstetten,Polen,91
092,Altstetten,Österreich,330
092,Altstetten,Niederlande,52
092,Altstetten,Italien,1502
092,Altstetten,Grossbritannien,147
092,Altstetten,Griechenland,116
092,Altstetten,Frankreich,127
092,Altstetten,Deutschland,1740
091,Albisrieden,Türkei,162
091,Albisrieden,Tschechische Republik,14
091,Albisrieden,Spanien,212
091,Albisrieden,"Serbien und Montenegro, Kosovo",227
091,Albisrieden,Portugal,407
091,Albisrieden,Polen,48
091,Albisrieden,Österreich,132
091,Albisrieden,Niederlande,44
091,Albisrieden,Italien,739
091,Albisrieden,Grossbritannien,82
091,Albisrieden,Griechenland,98
091,Albisrieden,Frankreich,86
091,Albisrieden,Deutschland,1166
111,Affoltern,Türkei,354
111,Affoltern,Tschechische Republik,40
111,Affoltern,Spanien,325
111,Affoltern,"Serbien und Montenegro, Kosovo",708
111,Affoltern,Portugal,605
111,Affoltern,Polen,88
111,Affoltern,Österreich,304
111,Affoltern,Niederlande,73
111,Affoltern,Italien,961
111,Affoltern,Grossbritannien,122
111,Affoltern,Griechenland,144
111,Affoltern,Frankreich,109
111,Affoltern,Deutschland,1709