QuName,NeubauAbs (x-Achse),LeerZunRel (y-Achse) ,Best13Radius (bubble)
Rathaus,0,0.696964077,8.226037847
Hochschulen,0.79596,0.688765126,5.841070317
Lindenhof,0.42009,1.863804786,9.127694321
City,3.97042,2.259632209,13.8046398
Wollishofen,12.95352,1.864132303,8.896961516
Leimbach,3.7457,-0.756940605,2.853735385
Enge,2.141615,0.456866683,15.03922749
Alt-Wiedikon,47.24488,0.969277207,15.0371324
Friesenberg,3.6483,0,4.044339619
Sihlfeld,5.83015,0.150596233,8.498097245
Werd,7.601055,-0.157146814,7.601878389
Langstrasse,72.80341,0.936299694,11.11506797
Hard,7.6361,0.334984184,6.071947378
Gewerbeschule,0.43792,-0.970859417,10.05215997
Escher Wyss,194.94112,2.29762809,18.18470949
Unterstrass,4.9671,0.329557211,9.851205251
Oberstrass,2.229325,0.193206269,6.381324141
Fluntern,6.95585,0.073471003,8.088268387
Hottingen,22.948855,0.019106335,9.039525547
Hirslanden,1.103,1.013839678,6.080974728
Witikon,2.4014,1.069878481,4.915139543
Seefeld,1.778705,0.190896402,8.785402154
Mülebach,4.168815,1.468959983,8.073946701
Weinegg,0.3318,2.562755523,5.227811551
Albisrieden,34.3269,1.940750109,8.51810156
Altstetten,65.90502,-1.955239465,18.7161365
Höngg,7.782735,-0.058229271,9.302917492
Wipkingen,1.4432,-1.858323804,5.776970333
Affoltern,24.16345,-0.002502066,7.750896273
Oerlikon,39.95727,-4.498365723,13.81706637
Seebach,96.93798,-0.240081029,14.74877735
Saatlen,0.4863,3.718916975,3.271526164
Schwamendingen-Mitte,5.7557,1.30787771,4.730899383
Hirzenbach,0.0088,-0.384180734,3.579829812